Frame,ID,Type
3,6,car
3,7,car
3,8,car
3,9,car
3,10,car
3,11,car
3,12,car
3,13,car
3,14,car
3,15,car
4,16,car
4,17,car
6,20,car
6,23,car
8,24,car
10,28,car
10,29,car
13,36,car
13,37,car
16,42,car
17,43,car
18,48,car
28,57,car
29,62,car
32,65,truck
33,66,car
34,68,car
38,77,car
38,78,car
41,81,car
43,86,car
49,90,car
49,91,car
50,92,car
53,95,car
3,97,car
3,100,bus
3,101,car
3,102,car
3,103,car
3,106,car
4,107,car
4,109,car
9,114,car
9,116,car
15,118,truck
16,120,truck
23,127,car
29,138,car
34,142,car
34,144,car
40,148,car
41,150,bus
46,154,truck
3,158,car
3,160,car
3,161,car
3,162,car
3,163,car
3,164,truck
3,165,car
4,166,car
7,171,car
11,174,truck
15,177,car
18,180,car
24,184,car
26,185,car
30,187,car
34,191,car
35,193,car
37,195,car
39,198,car
39,199,car
39,201,car
42,203,truck
44,207,car
52,212,truck
3,215,truck
3,216,truck
3,217,car
3,218,car
4,220,car
7,221,car
9,222,car
10,224,car
13,226,car
13,227,truck
25,231,truck
27,234,car
28,236,car
32,240,truck
37,241,car
39,242,truck
42,243,car
48,248,car
48,249,truck
50,250,car
1,253,car
5,257,truck
5,259,truck
5,260,car
7,264,truck
12,267,truck
15,271,truck
16,273,car
18,275,truck
24,280,car
27,287,car
28,288,truck
28,289,car
32,291,car
37,293,car
37,294,car
47,299,car
3,302,car
3,305,truck
4,306,car
4,307,truck
4,308,truck
4,311,car
4,314,car
4,315,truck
4,316,car
6,317,truck
9,321,car
9,322,truck
15,325,truck
23,328,car
33,332,car
34,333,truck
37,335,car
38,337,car
39,339,car
41,341,truck
44,342,car
46,345,truck
50,348,car
2,352,car
5,355,car
5,357,car
12,364,car
13,365,car
16,368,car
24,373,car
26,374,truck
33,382,car
41,386,truck
3,396,truck
3,399,truck
6,406,car
6,407,car
11,411,truck
13,415,car
15,419,car
16,420,truck
17,423,truck
25,431,car
26,432,car
27,433,car
5,442,car
5,447,car
6,448,car
6,449,car
6,450,car
6,451,car
6,452,car
6,453,car
6,456,truck
8,458,car
8,459,truck
8,460,car
11,469,car
21,473,car
28,475,car
34,476,car
35,477,car
40,480,car
41,481,car
48,484,car
3,486,car
3,487,car
4,490,car
4,491,car
4,492,car
4,493,car
11,499,car
12,502,car
22,507,car
23,508,truck
34,514,car
45,519,car
48,520,car
3,529,car
3,530,car
3,531,truck
3,532,car
3,534,car
3,536,car
3,537,car
3,538,car
4,539,truck
4,543,car
6,545,car
7,547,car
18,556,car
20,557,car
20,559,car
27,563,car
34,567,car
34,568,truck
44,573,truck
48,575,car
51,577,car
53,578,truck
8,580,car
8,581,truck
8,584,truck
8,586,truck
8,587,truck
11,590,person
15,595,car
17,597,car
44,601,car
46,603,car
46,605,car
46,609,truck
50,610,car
50,611,car
3,619,car
4,624,car
8,629,car
13,632,truck
13,633,car
14,637,car
24,643,car
44,647,truck
44,648,car
52,649,bus
3,651,car
3,652,truck
3,655,car
4,659,car
6,661,car
16,667,car
17,668,car
23,670,car
30,672,car
30,673,car
30,674,truck
37,677,car
40,680,car
48,686,car
50,689,car
4,702,car
4,705,car
4,706,car
4,707,car
6,709,car
9,712,car
11,714,car
23,718,car
27,721,car
34,722,truck
34,723,car
45,734,car
48,735,car
48,736,car
